,Pair,Sharpe,return,HalfLife,P-Value,Num_Trades
11,SPGI-ACN,1.6111741798503885,0.6433569669980355,19.1764281115757,0.013408297251649026,25
20,MRK-ADI,1.47526600254386,0.6681239485760302,39.26292359072735,0.026413884160536864,23
94,GILD-DE,1.4097984498251719,0.532144812262813,37.22938547916018,0.004405966969173288,21
141,MA-JNJ,1.3705516860838953,0.5446713733812205,34.19785667789806,0.02967026308171297,26
125,OXY-GM,1.3355100757893648,1.0533943861465094,11.536201445778604,4.6401271253964845e-05,29
181,TXN-MS,1.312018238846263,0.365943665075374,12.98889017096846,0.034296153516858364,25
179,SPGI-MS,1.2929774856067295,3.316725208395696,40.55890000177079,0.016408262173857054,25
169,WMT-MMC,1.232156087400199,0.4757146982556848,25.319568247486657,0.04678752278556852,23
81,MA-CAT,1.218266709929869,0.4787731138534794,12.838746954057873,0.005086553562682461,26
71,WMT-BSX,1.201232069548709,0.4560790823454466,13.4014802833665,0.0023542895913790706,25
192,UNH-TXN,1.194321317606849,1.2293401331385985,41.08244231542193,0.006609226146344021,24
17,MCD-ADI,1.1796561428004924,1.035374742321821,22.795071797172447,0.024125469847827576,24
122,SYK-GE,1.1699271765339037,0.7115523353172957,16.571812225015943,0.025238146295456915,23
129,SPGI-GOOG,1.152106103587504,1.282455148119217,21.565053614501636,0.02064866489876569,23
109,XOM-DIS,1.08226532457345,0.46615255105830333,13.919666893763479,0.0011595697771288958,26
69,ORCL-BSX,1.0779269262210447,0.9269091822224627,18.34111181191622,0.028766333374450316,25
100,PM-DE,1.071741277631201,0.3751059107213006,24.753187049571416,0.02015538056527384,23
152,WMT-LIN,1.0356262124413336,0.35208196659963775,17.197141281973206,0.02268046790663995,26
134,SPGI-GS,1.030955218332229,0.4581933196853334,28.121520884087644,0.006484474360501231,26
148,V-JNJ,1.0212331764821794,0.3850446706186701,38.409700561198626,0.023912583632458306,23
137,SPGI-HD,0.9885626907377966,0.371551360012528,27.19137384824345,0.03579617281947215,24
15,LIN-ADI,0.9807216753869482,1.2326931039816902,19.52421200518201,0.00661991777280765,27
187,V-SYK,0.9738756109816309,0.25536733947092416,19.322567652980595,0.03893233377368757,23
108,OXY-DIS,0.9706080506264501,0.3325735668752319,14.354882003910541,0.004707283348137711,25
88,ISRG-CSCO,0.944884774052488,2.0752686962314537,26.821171574666476,0.007774806813590326,25
47,DE-BDX,0.9373241036423082,0.34615511271326826,24.4001232473747,0.007491227152492897,23
165,MDLZ-MCD,0.9267675991796249,0.32283131269516097,18.07793168076496,0.035790836214822395,26
